iter	Passed	Remaining
739	1025	360
740	1025	358
741	1026	357
742	1028	355
743	1029	354
744	1030	352
745	1030	351
746	1031	349
747	1032	347
748	1033	346
749	1034	344
750	1036	343
751	1037	342
752	1038	340
753	1039	339
754	1040	337
755	1041	336
756	1042	334
757	1043	333
758	1044	331
759	1045	330
760	1047	328
761	1047	327
762	1048	325
763	1049	324
764	1051	322
765	1052	321
766	1053	320
767	1054	318
768	1055	317
769	1056	315
770	1057	314
771	1058	312
772	1059	311
773	1060	309
774	1061	308
775	1062	306
776	1063	305
777	1064	303
778	1065	302
779	1066	300
780	1067	299
781	1069	298
782	1070	296
783	1071	295
784	1072	293
785	1073	292
786	1074	290
787	1075	289
788	1076	287
789	1077	286
790	1078	284
791	1079	283
792	1080	282
793	1081	280
794	1083	279
795	1084	277
796	1085	276
797	1086	275
798	1087	273
799	1088	272
800	1089	270
801	1090	269
802	1091	267
803	1092	266
804	1093	264
805	1094	263
806	1095	262
807	1097	260
808	1099	259
809	1101	258
810	1102	256
811	1103	255
812	1104	253
813	1105	252
814	1106	251
815	1107	249
816	1108	248
817	1109	246
818	1110	245
819	1112	244
820	1113	242
821	1114	241
822	1115	239
823	1116	238
824	1117	237
825	1118	235
826	1119	234
827	1120	232
828	1121	231
829	1123	230
830	1124	228
831	1126	227
832	1128	226
833	1130	224
834	1131	223
835	1132	222
836	1133	220
837	1134	219
838	1135	217
839	1136	216
840	1137	215
841	1138	213
842	1139	212
843	1140	210
844	1142	209
845	1143	208
846	1144	206
847	1145	205
848	1146	203
849	1147	202
850	1148	201
851	1149	199
852	1150	198
853	1151	196
854	1152	195
855	1153	194
856	1154	192
857	1156	191
858	1157	190
859	1158	188
860	1159	187
861	1160	185
862	1161	184
863	1162	182
864	1163	181
865	1164	180
866	1165	178
867	1166	177
868	1167	175
869	1168	174
870	1169	173
871	1170	171
872	1172	170
873	1173	169
874	1174	167
875	1174	166
876	1175	164
877	1176	163
878	1177	162
879	1179	160
880	1179	159
881	1180	157
882	1181	156
883	1182	155
884	1183	153
885	1184	152
886	1185	151
887	1187	149
888	1188	148
889	1189	147
890	1190	145
891	1191	144
892	1192	142
893	1193	141
894	1194	140
895	1195	138
896	1196	137
897	1197	135
898	1198	134
899	1199	133
900	1200	131
901	1202	130
902	1203	129
903	1204	127
904	1205	126
905	1206	125
906	1207	123
907	1208	122
908	1209	121
909	1210	119
910	1211	118
911	1212	117
912	1213	115
913	1214	114
914	1216	113
915	1217	111
916	1218	110
917	1219	108
918	1220	107
919	1221	106
920	1223	104
921	1224	103
922	1225	102
923	1226	100
924	1227	99
925	1228	98
926	1229	96
927	1230	95
928	1232	94
929	1233	92
930	1234	91
931	1235	90
932	1236	88
933	1237	87
934	1238	86
935	1239	84
936	1240	83
937	1241	82
938	1242	80
939	1243	79
940	1244	78
941	1245	76
942	1247	75
943	1248	74
944	1249	72
945	1250	71
946	1251	70
947	1252	68
948	1253	67
949	1254	66
950	1255	64
951	1256	63
952	1257	62
953	1258	60
954	1259	59
955	1260	58
956	1262	56
957	1263	55
958	1264	54
959	1265	52
960	1266	51
961	1267	50
962	1268	48
963	1269	47
964	1270	46
965	1271	44
966	1272	43
967	1273	42
968	1274	40
969	1275	39
970	1277	38
971	1278	36
972	1279	35
973	1280	34
974	1281	32
975	1282	31
976	1283	30
977	1284	28
978	1285	27
979	1286	26
980	1287	24
981	1288	23
982	1289	22
983	1290	20
984	1292	19
985	1293	18
986	1294	17
987	1295	15
988	1296	14
989	1297	13
990	1297	11
991	1298	10
992	1299	9
993	1300	7
994	1301	6
995	1302	5
996	1303	3
997	1304	2
998	1306	1
999	1307	0
